iter	Passed	Remaining
728	39720	69252
729	39770	69189
730	39830	69144
731	39884	69090
732	39936	69031
733	39991	68976
734	40042	68916
735	40092	68855
736	40143	68793
737	40200	68744
738	40252	68684
739	40301	68621
740	40360	68574
741	40409	68511
742	40524	68559
743	40574	68495
744	40621	68429
745	40672	68368
746	40720	68303
747	40777	68253
748	40824	68186
749	40884	68141
750	40941	68090
751	40991	68028
752	41055	67989
753	41105	67927
754	41163	67878
755	41223	67833
756	41273	67770
757	41324	67710
758	41382	67662
759	41430	67597
760	41492	67555
761	41552	67509
762	41608	67457
763	41669	67412
764	41717	67347
765	41768	67287
766	41827	67240
767	41874	67173
768	41926	67114
769	41984	67065
770	42033	67002
771	42090	66951
772	42139	66888
773	42189	66827
774	42245	66775
775	42300	66721
776	42356	66669
777	42417	66625
778	42467	66563
779	42529	66520
780	42574	66451
781	42625	66391
782	42681	66339
783	42732	66278
784	42788	66227
785	42840	66169
786	42888	66104
787	42956	66070
788	43088	66134
789	43128	66057
790	43165	65976
791	43210	65906
792	43266	65855
793	43328	65810
794	43375	65744
795	43438	65703
796	43486	65639
797	43551	65600
798	43608	65548
799	43657	65486
800	43714	65435
801	43775	65390
802	43827	65331
803	43877	65270
804	43932	65217
805	43984	65157
806	44025	65082
807	44070	65014
808	44120	64954
809	44180	64907
810	44242	64863
811	44290	64798
812	44350	64752
813	44402	64694
814	44458	64642
815	44519	64596
816	44583	64556
817	44633	64495
818	44695	64450
819	44743	64387
820	44799	64335
821	44861	64289
822	44910	64228
823	44974	64186
824	45028	64131
825	45079	64072
826	45140	64025
827	45190	63965
828	45246	63912
829	45301	63859
830	45360	63810
831	45421	63764
832	45468	63700
833	45526	63649
834	45608	63633
835	45666	63583
836	45715	63520
837	45771	63468
838	45824	63411
839	45874	63350
840	45925	63291
841	45985	63243
842	46040	63189
843	46090	63129
844	46140	63068
845	46197	63016
846	46244	62950
847	46304	62904
848	46354	62843
849	46410	62790
850	46471	62744
851	46520	62682
852	46572	62624
853	46653	62605
854	46705	62546
855	46761	62494
856	46823	62448
857	46870	62385
858	46928	62334
859	46988	62286
860	47039	62227
861	47090	62167
862	47146	62115
863	47207	62069
864	47255	62005
865	47314	61956
866	47363	61895
867	47412	61833
868	47474	61787
869	47525	61728
870	47579	61673
871	47649	61638
872	47701	61580
873	47762	61533
874	47821	61484
875	47867	61419
876	47924	61366
877	47983	61318
878	48031	61255
879	48089	61204
880	48139	61144
881	48197	61093
882	48245	61031
883	48304	60981
884	48355	60922
885	48410	60867
886	48470	60820
887	48519	60758
888	48572	60702
889	48629	60649
890	48680	60591
891	48734	60535
892	48787	60479
893	48838	60420
894	48893	60365
895	48941	60302
896	48993	60245
897	49048	60191
898	49098	60131
899	49149	60071
900	49199	60011
901	49259	59962
902	49318	59914
903	49372	59858
904	49420	59796
905	49479	59746
906	49539	59698
907	49591	59641
908	49667	59611
909	49727	59563
910	49774	59500
911	49833	59451
912	49879	59385
913	49937	59335
914	49994	59283
915	50042	59220
916	50096	59165
917	50146	59104
918	50197	59046
919	50251	58991
920	50311	58942
921	50371	58893
922	50418	58830
923	50475	58779
924	50524	58717
925	50572	58655
926	50629	58603
927	50718	58588
928	50768	58528
929	50827	58479
930	50889	58432
931	50938	58371
932	51000	58324
933	51050	58264
934	51107	58213
935	51160	58157
936	51208	58095
937	51259	58036
938	51317	57985
939	51366	57923
940	51427	57876
941	51476	57814
942	51526	57755
943	51585	57705
944	51633	57643
945	51685	57586
946	51751	57544
947	51807	57490
948	51853	57427
949	51904	57368
950	51961	57316
951	52018	57263
952	52069	57205
953	52121	57147
954	52173	57090
955	52227	57035
956	52276	56974
957	52326	56914
958	52387	56866
959	52437	56807
960	52487	56747
961	52543	56695
962	52603	56645
963	52650	56583
964	52708	56532
965	52784	56500
966	52839	56446
967	52900	56397
968	52948	56336
969	53002	56280
970	53052	56221
971	53105	56165
972	53154	56104
973	53212	56053
974	53257	55988
975	53314	55936
976	53375	55888
977	53424	55827
978	53477	55772
979	53537	55722
980	53586	55661
981	53642	55608
982	53703	55561
983	53768	55517
984	53818	55457
985	53861	55390
986	53916	55336
987	53977	55288
988	54026	55228
989	54083	55176
990	54131	55114
991	54189	55063
992	54250	55015
993	54302	54957
994	54355	54901
995	54414	54851
996	54475	54803
997	54523	54741
998	54581	54691
999	54632	54632
1000	54680	54571
1001	54736	54518
1002	54808	54480
1003	54859	54422
1004	54917	54371
1005	54978	54322
1006	55023	54258
1007	55081	54206
1008	55141	54157
1009	55193	54100
1010	55247	54045
1011	55303	53991
1012	55361	53940
1013	55417	53887
1014	55468	53829
1015	55525	53776
1016	55585	53727
1017	55631	53664
1018	55691	53614
1019	55741	53555
1020	55807	53512
1021	55870	53465
1022	55929	53414
1023	55984	53359
1024	56037	53304
1025	56092	53249
1026	56145	53193
1027	56200	53138
1028	56269	53097
1029	56321	53041
1030	56373	52983
1031	56425	52925
1032	56486	52877
1033	56532	52815
1034	56586	52759
1035	56647	52710
1036	56695	52649
1037	56755	52599
1038	56815	52550
1039	56878	52503
1040	56928	52444
1041	56988	52394
1042	57038	52334
1043	57097	52284
1044	57157	52234
1045	57205	52174
1046	57258	52117
1047	57312	52062
1048	57360	52002
1049	57419	51951
1050	57467	51890
1051	57518	51832
1052	57577	51781
1053	57625	51720
1054	57681	51667
1055	57729	51606
1056	57786	51553
1057	57837	51496
1058	57935	51479
1059	57987	51423
1060	58044	51370
1061	58105	51321
1062	58154	51261
1063	58204	51202
1064	58264	51152
1065	58326	51104
1066	58381	51049
1067	58431	50990
1068	58491	50940
1069	58540	50880
1070	58597	50828
1071	58658	50778
1072	58704	50716
1073	58755	50658
1074	58812	50606
1075	58858	50543
1076	59012	50574
1077	59072	50524
1078	59120	50462
1079	59176	50409
1080	59236	50359
1081	59283	50298
1082	59338	50243
1083	59398	50192
1084	59452	50137
1085	59502	50078
1086	59555	50022
1087	59617	49973
1088	59677	49922
1089	59726	49863
1090	59787	49814
1091	59835	49753
1092	59891	49699
1093	59952	49649
1094	60014	49600
1095	60067	49544
